,O3,NO,NO2,NOX,SO2,CO,PM10
0,0.003,0.103,0.017,0.121,0.005,3.644,90.4
1,0.002,0.111,0.016,0.128,0.005,3.439,94.1
2,0.002,0.131,0.015,0.147,0.005,3.842,89.4
3,0.002,0.105,0.014,0.121,0.005,3.245,84.5
4,0.002,0.048,0.014,0.064,0.004,1.926,57.7
5,0.002,0.012,0.011,0.023,0.003,0.648,31
6,0.002,0.003,0.008,0.01,0.003,0.332,9.3
7,0.002,0.007,0.011,0.018,0.003,0.578,8.6
8,0.002,0.007,0.009,0.017,0.002,0.541,12.5
9,0.002,0.014,0.011,0.025,0.003,0.714,14.1
10,0.002,0.009,0.011,0.021,0.003,0.614,14
11,0.003,0.007,0.01,0.018,0.003,0.502,14.3
12,0.005,0.006,0.012,0.019,0.003,0.574,20
13,0.007,0.003,0.008,0.011,0.003,0.408,14.8
14,0.006,0.003,0.009,0.013,0.003,0.495,12.5
15,0.006,0.004,0.011,0.015,0.003,0.522,11.6
16,0.006,0.003,0.012,0.016,0.003,0.573,14.5
17,0.004,0.005,0.02,0.025,0.003,0.85,23.7
18,0.003,0.01,0.025,0.035,0.003,1.06,31.1
19,0.002,0.025,0.025,0.051,0.003,1.545,29.8
20,0.002,0.046,0.023,0.069,0.003,1.926,51.4
21,0.001,0.061,0.02,0.083,0.004,2.206,48
22,0.002,0.124,0.017,0.142,0.005,3.382,55.6
23,0.001,0.089,0.014,0.104,0.004,2.103,53
24,0.001,0.093,0.012,0.106,0.004,2.057,38.6
25,0.001,0.077,0.011,0.089,0.004,1.812,34.2
26,0.001,0.058,0.01,0.068,0.004,1.355,29.7
27,0.001,0.055,0.01,0.066,0.004,1.277,22.9
28,0.001,0.021,0.012,0.033,0.004,0.652,20.9
29,0.001,0.015,0.011,0.026,0.004,0.614,11.2
30,0.001,0.044,0.009,0.054,0.004,1.465,12.3
31,0.001,0.065,0.01,0.076,0.004,1.455,24.6
32,0.001,0.099,0.009,0.109,0.005,1.979,32.8
33,0.001,0.133,0.015,0.149,0.006,2.686,37
34,0.002,0.135,0.032,0.169,0.006,3.311,48.9
35,0.004,0.039,0.032,0.072,0.005,1.677,44.1
36,0.007,0.007,0.014,0.021,0.004,0.623,26.3
37,0.01,0.005,0.012,0.017,0.004,0.516,21.5
38,0.012,0.004,0.012,0.017,0.003,0.665,14.2
39,0.013,0.004,0.011,0.016,0.004,0.609,11.7
40,0.014,0.006,0.011,0.016,0.003,0.49,7.4
41,0.012,0.004,0.013,0.017,0.003,0.527,18.3
42,0.011,0.003,0.016,0.02,0.003,0.688,18.6
43,0.004,0.022,0.03,0.053,0.004,1.382,28.4
44,0.002,0.06,0.033,0.095,0.005,2.206,51.5
45,0.002,0.118,0.03,0.15,0.006,3.061,60.7
46,0.002,0.084,0.029,0.115,0.005,2.135,75.6
47,0.004,0.009,0.022,0.031,0.004,0.722,51.6
48,0.008,0.003,0.011,0.012,0.003,0.369,27.6
49,0.009,0.002,0.007,0.006,0.002,0.309,15.1
50,0.009,0.009,0.006,0.005,0.002,0.366,11.9
51,0.007,0.002,0.007,0.006,0.002,0.326,6.8
52,0.01,0.004,0.003,0.002,0.001,0.308,6.3
53,0.009,0.004,0.003,0.002,0.001,0.309,6.4
54,0.008,0.002,0.006,0.006,0.001,0.352,7.6
55,0.005,0.003,0.011,0.013,0.002,0.495,10.8
56,0.003,0.008,0.016,0.024,0.002,0.75,14
57,0.003,0.014,0.016,0.031,0.002,0.874,17.5
58,0.005,0.011,0.012,0.023,0.002,0.676,28.1
59,0.007,0.006,0.009,0.016,0.002,0.579,21.8
60,0.01,0.005,0.008,0.014,0.002,0.565,9.7
61,0.012,0.005,0.009,0.014,0.002,0.581,10.9
62,0.014,0.003,0.009,0.013,0.002,0.574,8.4
63,0.016,0.002,0.009,0.011,0.002,0.617,13.7
64,0.017,0.002,0.01,0.012,0.002,0.611,11.5
65,0.018,0.003,0.012,0.016,0.002,0.654,18.4
66,0.015,0.002,0.018,0.02,0.002,0.71,21.3
67,0.004,0.026,0.033,0.06,0.003,1.602,36
68,0.002,0.078,0.033,0.112,0.004,2.779,55.2
69,0.002,0.198,0.032,0.233,0.006,4.904,87.6
70,0.002,0.173,0.031,0.207,0.005,3.563,95.5
71,0.002,0.152,0.028,0.181,0.005,3.048,74.1
72,0.001,0.137,0.023,0.162,0.004,2.584,63.8
73,0.001,0.115,0.019,0.136,0.005,2.115,62.7
74,0.001,0.092,0.017,0.11,0.005,1.811,42.8
75,0.001,0.089,0.015,0.105,0.005,1.648,30.6
76,0.001,0.068,0.015,0.085,0.004,1.406,28.2
77,0.001,0.07,0.014,0.085,0.004,1.399,26.9
78,0.001,0.085,0.012,0.099,0.004,1.868,25.4
79,0.001,0.12,0.012,0.133,0.005,2.182,35.6
80,0.001,0.127,0.013,0.142,0.005,2.343,41.7
81,0.001,0.15,0.021,0.173,0.006,3.41,53.2
82,0.002,0.104,0.04,0.146,0.006,2.668,65
83,0.004,0.05,0.049,0.1,0.005,1.941,67.3
84,0.009,0.02,0.05,0.071,0.004,1.608,60.3
85,0.017,0.007,0.043,0.051,0.004,1.294,59.1
86,0.022,0.006,0.038,0.045,0.004,1.206,47.2
87,0.014,0.003,0.012,0.015,0.003,0.38,21.8
88,0.012,0.003,0.01,0.014,0.003,0.4,5.2
89,0.012,0.003,0.009,0.013,0.003,0.382,6
90,0.01,0.005,0.012,0.017,0.003,0.465,10.3
91,0.004,0.038,0.026,0.065,0.004,1.839,16.3
92,0.002,0.117,0.028,0.146,0.006,3.656,49.1
93,0.001,0.106,0.024,0.132,0.006,2.523,54.8
94,0.001,0.056,0.024,0.081,0.004,1.438,41.9
95,0.001,0.03,0.027,0.058,0.004,1.276,28.8
96,0.002,0.019,0.023,0.043,0.004,1.031,24.4
97,0.002,0.011,0.02,0.031,0.003,0.757,22.3
98,0.001,0.026,0.02,0.046,0.004,1.074,17.2
99,0.001,0.044,0.019,0.064,0.004,1.429,17.5
100,0.001,0.08,0.017,0.098,0.005,2.244,16.4
101,0.001,0.087,0.015,0.103,0.005,2.265,21.7
102,0.001,0.089,0.012,0.103,0.005,2.397,21.5
103,0.002,0.094,0.012,0.107,0.005,2.259,20.3
104,0.001,0.084,0.012,0.097,0.005,1.802,29
105,0.001,0.111,0.018,0.13,0.006,2.609,34.4
106,0.002,0.1,0.035,0.137,0.006,2.264,51.7
107,0.005,0.031,0.035,0.067,0.005,1.363,48.1
108,0.009,0.011,0.029,0.041,0.004,1.097,40.1
109,0.013,0.005,0.021,0.026,0.004,0.735,28.6
110,0.014,0.004,0.011,0.015,0.004,0.555,16.2
111,0.013,0.002,0.007,0.01,0.003,0.377,9.9
112,0.013,0.003,0.008,0.012,0.003,0.4,6.7
